Ubigeo,DEPARTAMENTO,Distrito,numero de victimizacion,poblacion2016,victimas en su distrito,victimas en su barrio ,vigilancia zona ,vigilanca policia nacional,presencia de policia nacional ,confianza segurirdad municipal,confianza en poder judicial,confianza en ministerio publico
150513,LIMA,SAN ANTONIO,121,4236,42,18,121,53,33,119,113,113
150514,LIMA,SAN LUIS,281,13090,85,33,280,59,94,276,273,269
150601,LIMA,HUARAL,1866,101705,648,189,1856,426,492,1849,1766,1759
150604,LIMA,AUCALLAMA,130,19814,43,13,129,28,50,126,125,124
150605,LIMA,CHANCAY,1068,62892,310,99,1060,189,276,1058,1016,1012
150701,LIMA,MATUCANA,129,3604,36,7,127,20,10,128,124,123
150705,LIMA,CHICLA,49,7695,20,-,49,15,-,49,47,44
150714,LIMA,RICARDO PALMA,81,6180,28,6,79,30,11,80,78,75
150722,LIMA,SAN MATEO,151,5029,33,13,151,19,65,151,143,142
150728,LIMA,SANTA EULALIA,234,12036,78,35,233,42,93,231,228,224
150801,LIMA,HUACHO,1028,58898,342,107,1021,272,299,1022,1002,1000
150803,LIMA,CALETA DE CARQUIN,82,6873,19,8,80,42,23,79,74,75
150805,LIMA,HUALMAY,505,28790,176,53,499,164,141,502,486,476
150806,LIMA,HUAURA,590,35796,211,69,588,127,193,582,554,553
150810,LIMA,SANTA MARIA,714,34039,259,89,705,214,209,701,677,671
150811,LIMA,SAYAN,327,24324,95,11,326,75,72,322,316,313
150812,LIMA,VEGUETA,359,22380,113,41,357,83,107,354,343,340
150901,LIMA,OYON,202,14655,42,25,202,16,98,194,197,195
150906,LIMA,PACHANGARA,102,3427,23,10,102,7,40,101,95,94
151001,LIMA,YAUYOS,32,2825,3,-,32,1,-,29,28,27
160101,LORETO,IQUITOS,5702,149994,1864,741,5581,1201,1852,5602,5450,5421
160103,LORETO,FERNANDO LORES,48,20349,6,-,48,4,-,48,46,43
160104,LORETO,INDIANA,139,11237,21,8,137,58,21,131,126,128
160105,LORETO,LAS AMAZONAS,69,9862,11,11,69,27,42,68,68,67
160106,LORETO,MAZAN,56,13859,16,-,52,28,-,54,49,45
160108,LORETO,PUNCHANA,1996,92284,544,222,1957,553,559,1957,1894,1903
160112,LORETO,BELEN,2125,76342,643,232,2109,439,635,2094,2026,2029
160113,LORETO,SAN JUAN BAUTISTA,4134,157621,1226,557,4093,574,1666,4067,3993,3980
160201,LORETO,YURIMAGUAS,1097,72803,280,108,1092,144,321,1063,1029,1027
160206,LORETO,LAGUNAS,358,14385,40,15,358,30,135,356,336,329
160301,LORETO,NAUTA,337,30232,67,14,329,68,108,331,328,326
160303,LORETO,TIGRE,44,8506,9,-,44,13,-,44,44,43
160305,LORETO,URARINAS,134,14932,13,5,133,47,53,132,129,130
160401,LORETO,RAMON CASTILLA,191,24480,32,19,189,67,82,188,178,179
160402,LORETO,PEBAS,68,17286,8,8,68,17,51,67,64,63
160404,LORETO,SAN PABLO,62,16306,9,-,60,12,-,62,58,60
160501,LORETO,REQUENA,574,30452,110,39,571,86,217,565,553,551
160503,LORETO,CAPELO,74,4490,13,4,74,17,9,72,73,71
160504,LORETO,EMILIO SAN MART÷N,87,7531,13,10,85,25,23,84,82,82
160601,LORETO,CONTAMANA,423,27569,90,31,421,79,146,418,407,404
160603,LORETO,PADRE MµRQUEZ,200,7717,43,19,193,-,95,189,172,168
160604,LORETO,PAMPA HERMOSA,89,10812,14,2,89,-,22,88,88,86
160605,LORETO,SARAYACU,111,16671,25,7,110,43,23,102,90,86
160606,LORETO,VARGAS GUERRA,194,8991,30,13,192,37,95,191,181,177
160701,LORETO,BARRANCA,111,13766,20,8,111,13,42,111,106,108
170101,MADRE DE DIOS,TAMBOPATA,9811,80389,3041,1404,9767,3024,3497,9730,9512,9511
170102,MADRE DE DIOS,INAMBARI,611,10348,200,84,609,140,236,594,596,593
170103,MADRE DE DIOS,LAS PIEDRAS,668,5897,159,42,665,186,146,649,634,637
170104,MADRE DE DIOS,LABERINTO,937,5153,266,109,934,311,305,921,906,903
170204,MADRE DE DIOS,HUEPETUHE,1061,6644,297,120,1059,255,392,1047,1041,1043
170302,MADRE DE DIOS,IBERIA,1504,9059,291,98,1499,352,475,1494,1479,1479
180101,MOQUEGUA,MOQUEGUA,6721,58021,2076,750,6649,2105,2116,6538,6361,6325
180102,MOQUEGUA,CARUMAS,192,5675,41,10,192,18,48,171,169,166
180104,MOQUEGUA,SAMEGUA,967,6506,261,109,958,285,358,946,893,883
180105,MOQUEGUA,SAN CRIST‡BAL,281,4103,53,17,279,17,77,220,231,229
180106,MOQUEGUA,TORATA,292,5800,72,13,290,62,67,268,278,275
180301,MOQUEGUA,ILO,4560,67636,1437,414,4514,1391,1218,4486,4241,4206
180303,PASCO,PACOCHA,310,3392,83,28,310,116,82,290,287,284
190101,PASCO,CHAUPIMARCA,3659,25824,1347,602,3630,305,1604,3633,3450,3437
190102,PASCO,HUACHON,338,4722,95,21,337,16,88,338,319,315
190103,PASCO,HUARIACA,396,8247,127,20,395,61,84,391,366,363
190104,PASCO,HUAYLLAY,480,11458,164,68,476,38,176,476,447,443
190105,PASCO,NINACACA,275,3348,74,42,271,11,152,269,256,251
190107,PASCO,PAUCARTAMBO,852,24619,196,77,841,84,354,824,742,724
190108,PASCO,SAN FRANCISCO DE AS÷S DE YARUSYAC,241,9683,72,20,241,32,80,240,233,230
190109,PASCO,SIMON BOLIVAR,1233,11627,404,118,1224,94,365,1220,1156,1151
190110,PASCO,TICLACAYAN,78,14027,13,5,77,13,17,78,74,74
190111,PASCO,TINYAHUARCO,457,6298,151,24,454,16,114,444,430,427
190112,PASCO,VICCO,199,2226,50,6,199,3,38,194,190,186
190113,PASCO,YANACANCHA,2407,30585,851,366,2389,275,983,2372,2283,2259
190201,PASCO,YANAHUANCA,444,12905,111,32,443,25,204,438,414,411
190202,PASCO,CHACAYAN,193,4355,32,14,188,21,87,178,161,153
190203,PASCO,GOYLLARISQUIZGA,31,4051,7,-,29,18,-,28,26,27
190206,PASCO,SANTA ANA DE TUSI,195,23345,54,15,190,14,70,193,180,174
190207,PASCO,TAPUC,288,4434,68,26,286,1,154,281,264,261
190301,PASCO,OXAPAMPA,517,14283,145,45,512,87,158,514,480,478
190306,PASCO,PUERTO BERMUDEZ,332,17617,106,27,328,41,103,329,301,282
190307,PASCO,VILLA RICA,796,20352,212,96,783,91,364,782,704,687
190308,PASCO,CONSTITUCION,37,11835,7,7,37,15,22,37,33,32
200101,PIURA,PIURA,4016,155241,1533,393,3983,877,1018,3991,3884,3843
200104,PIURA,CASTILLA,3178,144826,1085,432,3149,672,1297,3155,3063,3041
200105,PIURA,CATACAOS,1046,73393,299,129,1038,238,381,1039,987,988
200107,PIURA,CURA MORI,153,18832,24,10,151,33,53,148,142,140
200108,PIURA,EL TALLAN,59,5069,16,-,58,5,-,58,57,57
200109,PIURA,LA ARENA,591,37901,170,62,579,107,210,585,556,551
200110,PIURA,LA UNION,358,41019,97,5,350,56,59,351,323,317
200111,PIURA,LAS LOMAS,159,26927,23,2,158,75,22,157,154,147
200114,PIURA,TAMBO GRANDE,298,120760,60,10,298,104,31,298,285,278
200115,PIURA,VEINTISEIS DE OCTUBRE,904,149232,334,334,901,100,804,888,884,884
200201,PIURA,AYABACA,35,38506,14,-,35,5,-,35,33,32
200202,PIURA,FRIAS,120,24240,26,19,120,24,77,116,116,113
200301,PIURA,HUANCABAMBA,88,30564,23,8,86,23,20,87,84,83
200401,PIURA,CHULUCANAS,1127,76224,250,85,1116,303,377,1114,1068,1060
200402,PIURA,BUENOS AIRES,122,8036,13,8,121,27,53,122,114,114
200404,PIURA,LA MATANZA,120,12787,19,4,119,37,13,120,117,113
200405,PIURA,MORROP‡N,234,14116,33,15,233,125,58,228,215,212
200406,PIURA,SALITRAL,119,8408,17,5,116,30,25,114,104,102
200501,PIURA,PAITA,897,94566,302,133,891,146,369,890,873,865
200504,PIURA,COLAN,155,12481,33,11,152,29,45,154,147,143
200505,PIURA,LA HUACA,68,11763,16,-,68,6,-,66,64,63
200506,PIURA,TAMARINDO,51,4576,6,-,51,45,-,50,46,41
200507,PIURA,VICHAYAL,95,4813,23,8,95,18,35,95,91,89
200601,PIURA,SULLANA,2156,178173,691,236,2149,370,671,2147,2092,2072
200602,PIURA,BELLAVISTA,452,38201,143,33,447,100,111,451,434,424
200603,PIURA,IGNACIO ESCUDERO,228,20167,40,10,228,43,83,228,214,211
200605,PIURA,MARCAVELICA,412,29034,92,35,410,45,196,408,383,382
200606,PIURA,MIGUEL CHECA,144,8717,21,7,142,43,51,139,131,132
200607,PIURA,QUERECOTILLO,381,25386,81,23,380,51,151,376,358,344
200608,PIURA,SALITRAL,37,6723,14,-,37,9,-,37,35,35
200701,PIURA,PARI•AS,1103,90236,350,153,1093,121,491,1094,1059,1053
200702,PIURA,EL ALTO,47,7059,16,-,46,11,-,47,47,46
200703,PIURA,LA BREA,91,11827,32,-,89,11,-,90,88,86
200705,PIURA,LOS ORGANOS,46,9425,7,-,46,10,-,46,46,44
200706,PIURA,MANCORA,33,12917,9,-,33,18,-,33,30,28
200801,PIURA,SECHURA,568,43525,164,75,562,143,182,565,548,539
200802,PIURA,BELLAVISTA DE LA UNI‡N,64,4384,25,25,63,2,62,64,63,61
200803,PIURA,BERNAL,94,7349,12,2,92,29,23,94,84,84
200804,PIURA,CRISTO NOS VALGA,46,3957,8,8,46,5,41,45,43,43
200805,PIURA,VICE,281,14237,71,25,277,62,99,278,264,252
200806,PUNO,RINCONADA LLICUAR,70,3193,14,-,70,36,-,70,64,63
210101,PUNO,PUNO,4137,142863,1702,679,4127,349,1667,4094,3958,3947
210102,PUNO,ACORA,135,28139,42,20,135,3,59,134,122,120
210107,PUNO,COATA,80,8109,16,4,80,-,16,77,64,63
210109,PUNO,MA•AZO,44,5359,8,8,44,-,44,43,39,39
210201,PUNO,AZANGARO,316,28364,92,48,315,6,192,313,293,290
210204,PUNO,ASILLO,159,17502,54,37,159,2,103,159,151,149
210207,PUNO,JOSE DOMINGO CHOQUEHUANCA,94,5500,32,17,93,1,53,94,76,73
210208,PUNO,MU•ANI,35,8233,17,-,35,-,-,34,27,25
210209,PUNO,POTONI,38,6487,14,-,38,-,-,35,36,36
210211,PUNO,SAN ANT‡N,74,10034,22,14,74,3,51,74,66,65
210212,PUNO,SAN JOSê,28,5766,5,-,28,-,-,25,24,24
210301,PUNO,MACUSANI,107,13015,37,10,106,1,40,107,99,98
210304,PUNO,COASA,72,16167,24,5,72,-,44,65,57,56
210306,PUNO,CRUCERO,99,9306,38,14,99,1,43,96,93,85
210310,PUNO,USICAYOS,46,23937,11,11,46,-,46,46,43,43
210401,PUNO,JULI,190,21436,75,32,189,-,88,189,185,182
210402,PUNO,DESAGUADERO,330,31775,110,45,330,10,140,328,304,301
210405,PUNO,PISACOMA,98,13672,16,6,98,5,42,96,83,83
210407,PUNO,ZEPITA,93,18961,37,37,93,-,93,93,83,82
210501,PUNO,ILAVE,511,58210,169,64,510,14,226,501,477,476
210601,PUNO,HUANCANE,205,18398,74,24,204,11,57,205,189,186
210701,PUNO,LAMPA,128,10331,34,19,127,18,75,128,123,122
210708,PUNO,PUCARA,143,5240,49,24,142,6,83,137,125,124
210709,PUNO,SANTA LUCIA,32,7514,12,-,32,-,-,31,29,29
210801,PUNO,AYAVIRI,266,22367,104,39,263,10,88,262,249,247
210802,PUNO,ANTAUTA,70,4458,15,7,70,-,46,65,61,57
210805,PUNO,MACARI,31,8607,13,-,31,-,-,30,30,30
210806,PUNO,NU•OA,49,11006,12,-,49,4,-,49,44,44
210901,PUNO,MOHO,87,15779,30,14,87,5,35,85,84,83
211001,PUNO,PUTINA,150,26985,42,17,150,2,68,147,129,130
211002,PUNO,ANANEA,318,32842,123,71,318,27,151,312,298,293
211101,PUNO,JULIACA,4291,229681,1951,850,4281,113,1825,4246,4048,4035
211103,PUNO,CABANILLAS,61,5390,26,20,61,9,42,56,49,47
211201,PUNO,SANDIA,84,12271,38,16,84,-,38,83,74,72
211207,PUNO,SAN JUAN DEL ORO,123,13583,44,29,123,5,71,114,102,99
211301,PUNO,YUNGUYO,211,27089,54,27,211,11,93,210,195,196
220101,SAN MART÷N,MOYOBAMBA,6590,85125,1390,677,6510,2519,1851,6440,6234,6212
220102,SAN MART÷N,CALZADA,34,4340,6,6,34,10,24,34,31,33
220104,SAN MART÷N,JEPELACIO,250,21473,41,19,250,67,73,235,230,226
220105,SAN MART÷N,SORITOR,256,34627,50,11,252,51,48,245,230,228
220201,SAN MART÷N,BELLAVISTA,454,13435,91,48,452,97,170,442,431,429
220202,SAN MART÷N,ALTO BIAVO,82,7147,8,5,82,-,59,75,69,70
220205,SAN MART÷N,SAN PABLO,111,8966,7,3,110,1,36,103,101,99
220206,SAN MART÷N,SAN RAFAEL,64,7452,17,-,63,-,-,60,56,52
220301,SAN MART÷N,SAN JOSE DE SISA,188,11802,16,8,188,29,65,173,150,150
220303,SAN MART÷N,SAN MART÷N,56,13344,9,9,56,17,39,54,53,53
220401,SAN MART÷N,SAPOSOA,201,11317,27,17,200,41,99,198,190,189
220501,SAN MART÷N,LAMAS,409,12404,40,17,406,135,127,393,387,384
220502,SAN MART÷N,ALONSO DE ALVARADO,154,19253,19,7,152,82,23,144,138,137
220504,SAN MART÷N,CAYNARACHI,85,7920,11,1,85,4,23,73,81,81
220510,SAN MART÷N,TABALOSOS,310,13229,34,13,309,94,91,296,285,282
220601,SAN MART÷N,JUANJUI,450,26347,88,27,446,83,116,440,434,436
220603,SAN MART÷N,HUICUNGO,126,6515,30,11,126,2,60,126,122,121
220701,SAN MART÷N,PICOTA,134,8153,19,8,131,65,24,127,114,117
220707,SAN MART÷N,SAN HILARION,67,5572,12,5,67,15,13,67,65,65
220708,SAN MART÷N,SHAMBOYACU,17,11745,4,-,17,-,-,17,17,17
220709,SAN MART÷N,TINGO DE PONASA,62,4745,6,-,60,9,-,60,58,56
220710,SAN MART÷N,TRES UNIDOS,68,5180,8,-,68,4,-,68,67,66
220801,SAN MART÷N,RIOJA,514,23699,107,41,507,199,123,494,479,477
220802,SAN MART÷N,AWAJUN,100,11912,12,7,99,3,60,94,83,80
220803,SAN MART÷N,ELIAS SOPLIN VARGAS,90,13443,15,8,89,26,20,86,73,72
220804,SAN MART÷N,NUEVA CAJAMARCA,540,46153,103,40,537,111,161,517,468,468
220805,SAN MART÷N,PARDO MIGUEL,98,22817,21,-,97,52,-,86,88,86
220808,SAN MART÷N,YORONGOS,56,3641,7,-,55,-,-,53,47,47
220809,SAN MART÷N,YURACYACU,156,3889,18,13,154,60,57,152,149,151
220901,SAN MART÷N,TARAPOTO,4373,73875,986,412,4317,1081,1347,4289,4161,4155
220903,SAN MART÷N,CACATACHI,85,3376,20,5,84,12,15,84,84,82
220904,SAN MART÷N,CHAZUTA,198,8107,28,15,197,49,99,195,185,179
220907,SAN MART÷N,HUIMBAYOC,96,3332,4,3,96,-,26,96,88,84
220908,SAN MART÷N,JUAN GUERRA,155,3123,17,13,155,14,114,151,139,139
220909,SAN MART÷N,LA BANDA DE SHILCAYO,2111,42093,457,245,2084,422,853,2061,2020,2007
220910,SAN MART÷N,MORALES,1020,29886,216,93,1008,200,386,984,966,958
220913,SAN MART÷N,SAUCE,80,16223,12,3,79,6,18,79,77,77
221001,SAN MART÷N,TOCACHE,509,25175,110,56,507,84,190,503,471,466
221002,SAN MART÷N,NUEVO PROGRESO,89,12094,18,7,88,22,35,83,63,61
221003,SAN MART÷N,POLVORA,36,13974,6,-,36,2,-,34,34,33
221005,SAN MART÷N,UCHIZA,288,20133,51,18,285,60,74,281,276,279
230101,TACNA,TACNA,3374,80070,1344,470,3347,1440,775,3345,3268,3246
230102,TACNA,ALTO DE LA ALIANZA,902,39688,394,165,893,275,266,896,866,856
230104,TACNA,CIUDAD NUEVA,1067,38146,468,202,1060,336,314,1060,1007,993
230108,TACNA,POCOLLAY,478,21675,192,64,476,143,123,476,462,460
230110,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,4224,119402,1785,776,4185,1087,1441,4200,4066,4036
230302,TACNA,ILABAYA,1714,2891,504,173,1687,371,512,1605,1676,1661
230401,TACNA,TARATA,1142,3221,395,137,1132,383,207,1124,1070,1061
240101,TUMBES,TUMBES,7430,113022,2214,820,7379,3180,2159,7329,7104,7045
240102,TUMBES,CORRALES,1049,24085,257,51,1038,297,231,1032,954,960
240103,TUMBES,LA CRUZ,509,9259,96,38,503,199,160,500,459,457
240104,TUMBES,PAMPAS DE HOSPITAL,242,7106,49,10,239,106,38,235,222,217
240105,TUMBES,SAN JACINTO,273,8576,44,7,270,111,57,266,248,249
240106,TUMBES,SAN JUAN DE LA VIRGEN,224,4102,31,11,224,115,55,216,205,209
240201,TUMBES,ZORRITOS,434,12484,65,12,429,156,104,433,382,390
240203,TUMBES,CANOAS DE PUNTA SAL,96,5558,20,4,96,47,13,94,90,86
240301,TUMBES,ZARUMILLA,1299,22585,320,117,1288,663,320,1278,1229,1216
240302,TUMBES,AGUAS VERDES,1087,24006,306,93,1080,610,247,1070,1006,1007
240304,TUMBES,PAPAYAL,395,5272,48,20,390,163,109,393,368,364
250101,UCAYALI,CALLERIA,5094,155773,1528,538,5050,1284,1586,4982,4863,4847
250102,UCAYALI,CAMPOVERDE,470,15937,98,43,467,114,183,463,440,437
250104,UCAYALI,MASISEA,280,12876,44,14,275,75,116,269,276,274
250105,UCAYALI,YARINACOCHA,2622,98799,759,306,2598,545,1036,2576,2488,2486
250107,UCAYALI,MANANTAY,3146,81150,906,402,3110,707,1239,3087,2995,2983
250201,UCAYALI,RAYMONDI,1059,34213,276,86,1043,222,370,1032,994,991
250202,UCAYALI,SEPAHUA,305,8939,69,23,302,90,93,290,273,267
250301,UCAYALI,PADRE ABAD,1028,26132,315,98,1019,165,318,1008,964,959
250302,UCAYALI,IRAZOLA,716,10527,189,50,716,210,203,692,671,662
250303,UCAYALI,CURIMANA,37,8697,11,11,37,10,27,34,35,34
